사업표준용어명,영문약어,설명,공공도메인,사업도메인,데이터타입,길이,허용값,저장형식,표현형식,이음동의어,출처
썸네일총크기바이트,THMB_TOT_SIZE_BYTE,썸네일 누적 크기 바이트. 페이지 크기 조정 근거.,,,,,,,,,
어노테이션구분유형,ANNO_TYPE,"어노테이션 구분 유형

[영문] Annotation Type",명V256,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
업로더사용자아이디,UPLDR_USER_ID,응답 업로드한 지자체 공무원 user_id.,,,,,,,,,
영상범위통합플랫폼,VDO_RNG_INTG_PLFM,"통합플랫폼으로 전송 가능한 영상 범위 (분 단위). 단어 조합: 영상(VDO, program 441) + 범위(RNG, program 379) + 통합(INTG, program 472) + 플랫폼(PLFM, program 347).",수N10,,,,,,,,KLID-2 D001 ERD-005
영상저장통계아이디,STATS_STRG_ID,"영상저장통계아이디

[영문] Statistics Storage Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
원본데이터셋아이디,ORGNL_DATA_SET_ID,증강 원본 데이터셋 FK(→datasets). KLID-BM DATA_SET 패턴. augmentation_results.source_dataset_id.,,,,,,,,,KLID-PT D006 ERD-004 (KLID-BM 패턴)
원시데이터유형코드,RAW_DATA_TYPE_CD,"원시 데이터의 유형을 식별하기 위한 코드

[영문] Raw Data Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
원천프레임일련번호,SRC_DATA_SRC_SN,라벨이 부착된 원천 프레임 식별자(LS_DATA_SRC.SRC_SN),,,N,19,,,,,KLID-저작도구 ERD-018
이벤트카테고리코드,EVNT_CTGRY_CD,"이벤트의 카테고리 코드. 단어 조합: 이벤트(EVNT, program 246) + 카테고리(CTGRY, program 195) + 코드(CD, gov 2891).",코드C4,,,,,,,,KLID-2 D001 ERD-005
전송스케줄배포여부,TRSM_SCHDL_DSTRB_YN,"전송스케줄이 배포되었는지 여부

[영문] Transmission Schedule Distribution Yes or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전송스케줄수정시간,TRSM_SCHDL_UPD_DT,"전송스케줄이 수정된 날짜와 시각

[영문] Transmission Schedule Update Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전송스케줄시작시간,TRSM_SCHDL_BGNG_HR,"전송 스케줄 전송 시작 시간

[영문] Transmission Schedule Beginning Hour",,시분V4,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전송스케줄종료시간,TRSM_SCHDL_END_HR,"전송 스케줄 전송 종료 시간

[영문] Transmission Schedule End Hour",,시분V4,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
제조국별통계아이디,STATS_NTN_ID,"제조국별통계아이디

[영문] Statistics Nation Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
제조국확인불가대수,UNK_COM,"제조국확인불가대수

[영문] Unknown Manufacture Nation Count Of Machines",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
지능형관제유형코드,INTL_MON_TYPE_CD,"지능형관제유형코드

[영문] Intelligent Monitoring Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
참여지방자치단체수,PTCP_LCLGV_CNT,참여 지자체 수(DFEAT-045 KPI). 참여(gov:2634)+지방자치단체(gov:2532)+수(gov:1440).,수N10,,,,,,,,KLID-PT D006 ERD-002 데이터현황스냅샷.참여지방자치단체수
최신기술통계아이디,STATS_TECH_ID,"최신기술통계아이디

[영문] Statistics Latest Technology Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
출력영상자산아이디,OTPT_VDO_AST_ID,"생성 완료된 최종 영상 자산 아이디 (D002 video_asset 참조, text reference). genai_jobs.output_video_asset_id",명V40,,,,,,,,KLID-2 D007 ERD-007
통합플랫폼벤더코드,PLFM_VENDOR_CD,통합플랫폼 벤더 구분 코드. 스마트도시협회 / 스마트시티 등 어댑터 식별,,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
트리거사용자아이디,TRGR_USER_ID,"배포를 트리거한 사용자 식별자. 단어 조합: 트리거(TRGR, gov 2966) + 사용자아이디(USER_ID, program term 668). dispatch_jobs.trigger_user_id.",,,,,,,,,KLID-2 D004 ERD-010
행정전자서명인증서,GPKI,"공공기관용 전자서명 인증체계

[영문] Government Public Key Infrastructure",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
회전이전세션식별자,RTT_PRV_SSN_IDNTFR,"토큰 회전 전의 이전 세션 식별자. 단어 조합: 회전(RTT, program 458) + 이전(PRV, program 460) + 세션(SSN, gov 1371) + 식별자(IDNTFR, gov 1591). 회전 추적용 self-reference.",명V40,,,,,,,,KLID-2 D001 ERD-005
내부관제일지일련번호,INTNL_MNTR_SN,내부 저장 관제일지 데이터 행을 식별하는 일련번호 (PK 시퀀스). TB_INTERNAL_MONITORING용,일련번호N22,,,,,,,,KLID-2 자체 파생 (내부+관제일지+일련번호)
다이렉트영상전송여부,DRCT_VDO_TRSM_YN,"중계서버에서 영상을 다이렉트(직접) 전송할지 여부. 단어 조합: 다이렉트(DRCT, program 468) + 영상(VDO, program 441) + 전송(TRSM, gov 2270) + 여부.",여부C1,,,,,,,,KLID-2 D001 ERD-005
마지막오류메시지내용,LAST_ERR_MSG_CN,마지막 전송 실패 오류 메시지(마스킹 후 truncate 저장),,,V,2000,,,,,KLID-저작도구 ERD-021
배치처리이력일련번호,BATCH_PROC_LOG_SN,배치처리이력 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-020
부분이벤트메타데이터,PART_EVNT_MTDT,작업 요청 시점의 최소 이벤트 메타(event_type·time_of_day·season 등). jsonb. genai_jobs.event_metadata_partial,내용V4000,,,,,,,,KLID-2 D007 ERD-007
비식별원천파일경로명,DE_IDNTF_SRC_FILE_PATH_NM,비식별 영상에서 추출한 동일 프레임(원천)의 파일 경로. 라벨링 대상 비식별 프레임 경로. 원본 프레임 경로(SRC_FILE_PATH_NM)와 짝을 이룸. [물리 컬럼 LS_DATA_SRC.SRC_BKUP_FILE_PATH_NM 은 1차 레거시명(BKUP=백업)으로 의미 불일치 — 코드 정정 대기],내용V1000,,,,,,,,KLID 저작도구 비식별 산출물 용어 정의 2026-06-01 (정의불일치 점검 보완)
사용교재상용서면여부,TXTBK_CMCL_DOC_YN,사용교재 - 상용 서면 사용 여부. 단어조합 교재(TCMTR)+상용(COMM)+서면(DOC)+여부(YN). 물리명 txtbk_comm_doc_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육현황 조사 양식
설치년도별통계아이디,STATS_YR_ID,"설치년도별통계아이디

[영문] Statistics Year Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적교통정보수집,INSTL_PRPS_TRF_INFO,CCTV 설치목적 - 교통정보수집 여부.,,,C,1,"true,false",,,,
설치목적교통정보여부,INSTL_PRPS_TRFC_INFO_YN,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.instl_prps_trfc_info)
설치목적생활방범여부,INSTL_PRPS_LIV_CP_YN,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.instl_prps_liv_cp)
설치목적아동방범여부,INSTL_PRPS_CHILD_CP_YN,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.instl_prps_child_cp)
설치목적재해방지여부,INSTL_PRPS_DSTR_PRVN_YN,,,,,,,,,,"D003 ERD-008 C그룹 (resource_cctvs.instl_prps_dprv, 재해 DSTR 2221 + 방지 PRVN 966)"
설치목적차량방범여부,INSTL_PRPS_VHCL_CP_YN,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.instl_prps_vhcl_cp)
업로드데이터상태코드,ULD_DATA_STTS_CD,"업로드된 데이터의 상태 코드

[영문] Upload Data Status Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
원격전원제어장치유무,RM_PWR_CTRL_DEV_YN,"원격전원제어장치 유무

[영문] Remote Power Control Device Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
원본원시영상일련번호,ORGNL_RAW_SN,"증강 결과 영상의 원본 RAW_SN 참조(증강=새 영상). 원본이면 NULL. V82에서 물리 컬럼 PARENT_RAW_SN→ORGNL_RAW_SN 표준 정합(원본=ORGNL 표준단어). 내부 컬럼명=ORGNL_RAW_SN, 외부 데이터마트 계약명은 V_COMPLETED_VIDEO 뷰에서 'ORGNL_RAW_SN AS PARENT_RAW_SN' alias로 PARENT_RAW_SN 유지.",,,N,19,,,,PARENT_RAW_SN(외부 데이터마트 계약명/뷰 alias),"KLID-저작도구 ERD-012 (V82 rename, LS_DATA_RAW)"
주요지방자치단체여부,MAIN_LCLGV_YN,"주요지방자치단체 여부

[영문] Main Local Government Yes or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최종비밀번호변경일시,LAST_PSWD_CHG_DT,"맨 나중에 사용자의 비밀번호를 변경한 일자

[영문] Last Password Change Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최종이벤트메타데이터,LAST_EVNT_MTDT,영상 확정 시점의 최종 이벤트 메타(lclgv_cd·event_datetime·location 등 D002 등록용). jsonb. genai_jobs.event_metadata_final,내용V4000,,,,,,,,KLID-2 D007 ERD-007
희망교육내용기타여부,CONTENT_ETC_YN,희망 교육내용 - 기타 희망 여부(최대 4 선택). 단어조합 희망(HOPE)+교육(EDU)+내용(CN)+기타(ETC)+여부(YN). 물리명 content_etc_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
관제일지표준화상태코드,MNTR_STD_STTS_CD,관제일지 원천 데이터의 일별 표준화 처리 상태 코드 (대기/진행중/완료/실패),,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
데이터라벨이력일련번호,DATA_LBL_HSTRY_SN,"데이터 라벨 변경 이력에 대한 고유 일련번호

[영문] Data Label History Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터메타검수일련번호,DATA_META_REVIEW_SN,데이터메타검토 PK,,,N,19,,,,,KLID-저작도구 ERD-010
데이터메타이력일련번호,DATA_META_HSTRY_SN,"메타데이터 변경 이력에 대한 고유 일련번호

[영문] Data Metadata History Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터원천이력일련번호,DATA_SRC_HSTRY_SN,"데이터의 수집/연계/출처 이력의 고유 일련번호

[영문] Data Source History Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터증강검수일련번호,DATA_AUG_RVW_SN,데이터증강검수 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-011
비밀번호초기화요청시간,PSWD_INIT_DMND_DT,"비밀번호 초기화를 요청한 날짜와 시각

[영문] Password Initialization Demand Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
비밀번호초기화요청여부,PSWD_INIT_DMND_YN,"비밀번호 초기화를 요청했는지 여부

[영문] Password Initialization Demand Yes or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
비식별처리로그일련번호,PROC_LOG_SN,비식별처리로그 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-017
비식별화데이터셋아이디,DE_IDNTF_DATST_ID,외부 비식별 시스템(KPST)의 데이터셋 식별자. 파일 단위(LS_DEIDENT_PROC_LOG). 단어조합: 비식별화(DE_IDNTF)+데이터셋(DATST)+아이디(ID). 구 KPST_DATASET_ID를 표준 DE_IDNTF·DATST 단어로 rename. 논리명 관례 = _ID→아이디(2026-07-10 사용자 확정).,,,N,19,,,,,"KLID-저작도구 ERD-017 (LS_DEIDENT_PROC_LOG, KPST datasetId)"
비식별화프로젝트아이디,DE_IDNTF_PJT_ID,외부 비식별 시스템(KPST)의 프로젝트 식별자. 영상 1건=프로젝트 1개 매핑(LS_DEIDENT_PROC_LOG). 단어조합: 비식별화(DE_IDNTF)+프로젝트(PJT)+아이디(ID). 구 KPST_PRJ_ID를 표준 DE_IDNTF 단어로 rename. 논리명 관례 = _ID→아이디(2026-07-10 사용자 확정).,,,N,19,,,,,"KLID-저작도구 ERD-017 (LS_DEIDENT_PROC_LOG, KPST prjId)"
사용교재상용동영상여부,TXTBK_CMCL_VIDEO_YN,사용교재 - 상용 동영상 사용 여부. 단어조합 교재(TCMTR)+상용(COMM)+동영상(VDO)+여부(YN). 물리명 txtbk_comm_video_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육현황 조사 양식
상위데이터이슈일련번호,UP_DATA_ISSUE_SN,"상위 데이터 이슈 항목의 일련번호

[영문] Upper Data Issue Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
선별관제표준화상태코드,SCRNG_STD_STTS_CD,선별관제 원천 데이터의 일별 표준화 처리 상태 코드 (대기/진행중/완료/실패),,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
영상범위선별관제플랫폼,VDO_RNG_SLCT_MON_PLFM,"선별관제플랫폼으로 전송 가능한 영상 범위 (분 단위). 단어 조합: 영상(VDO, program 441) + 범위(RNG, program 379) + 선별(SLCT, program 470) + 관제(MON, program 316) + 플랫폼(PLFM, program 347).",수N10,,,,,,,,KLID-2 D001 ERD-005
원본데이터라벨일련번호,ORGNL_DATA_LBL_SN,증강 전 원본 라벨 일련번호,,,N,19,,,,,KLID-저작도구 ERD-011
폴대오류가발생한행의수,ERR_POLE_ROWS,"폴대오류가발생한행의수

[영문] Error Number of Pole Rows",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프로젝트데이터상태코드,PJT_DATA_STTS_CD,"프로젝트 데이터의 상태를 나타내는 코드

[영문] Project Data Status Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프로젝트데이터유형코드,PJT_DATA_TYPE_CD,"프로젝트 데이터의 유형을 구분하는 코드

[영문] Project Data Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프롬프트이미지사용여부,PROMPT_IMG_USE_YN,"프롬프트 이미지 사용 여부 (Y/N)

[영문] Prompt Image Use Yes Or No",,여부V1,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프롬프트이미지파일경로,PROMPT_IMG_FILE_PATH,"프롬프트 이미지 파일 경로

[영문] Prompt Image File Path",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
해상도변경산출일련번호,RES_EXPORT_SN,해상도 변경 산출 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-012
사용교재자체제작서면여부,TXTBK_SELF_DOC_YN,사용교재 - 자체제작 서면 사용 여부. 단어조합 교재(TCMTR)+자체제작(SELF)+서면(DOC)+여부(YN). 물리명 txtbk_self_doc_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육현황 조사 양식
통합플랫폼표준화상태코드,PLFM_STD_STTS_CD,통합플랫폼 원천 데이터의 일별 표준화 처리 상태 코드 (대기/진행중/완료/실패),,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
폴대업로드실패목록아이디,POLE_ERR_ID,"폴대 업로드 실패 목록을 식별하기위한 고유 ID

[영문] Pole Error Id",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
희망교육내용관제요령여부,CONTENT_MON_METHOD_YN,희망 교육내용 - 관제요령 희망 여부(최대 4 선택). 단어조합 희망(HOPE)+교육(EDU)+내용(CN)+관제요령(MONMTH)+여부(YN). 물리명 content_mon_method_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육지원강사지원여부,SUPP_LECTURER_YN,희망 교육지원 - 강사지원 희망 여부(최대 2 선택). 단어조합 희망(HOPE)+교육(EDU)지원(SPRT)+강사(INSTR)+여부(YN). 물리명 supp_lecturer_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육지원서면교재여부,SUPP_DOC_TXTBK_YN,희망 교육지원 - 서면교재 희망 여부(최대 2 선택). 단어조합 희망(HOPE)+교육(EDU)지원(SPRT)+서면(DOC)+교재(TCMTR)+여부(YN). 물리명 supp_doc_txtbk_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
데이터증강라벨매핑일련번호,DATA_AUG_LBL_MAP_SN,데이터증강라벨매핑 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-011
사용교재상용온라인강좌여부,TXTBK_CMCL_ONLINE_YN,사용교재 - 상용 온라인강좌 사용 여부. 단어조합 교재(TCMTR)+상용(COMM)+온라인(ONLN)강좌(CORS)+여부(YN). 물리명 txtbk_comm_online_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육현황 조사 양식
사용교재자체제작동영상여부,TXTBK_SELF_VIDEO_YN,사용교재 - 자체제작 동영상 사용 여부. 단어조합 교재(TCMTR)+자체제작(SELF)+동영상(VDO)+여부(YN). 물리명 txtbk_self_video_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육현황 조사 양식
희망교육지원동영상교재여부,SUPP_VIDEO_TXTBK_YN,희망 교육지원 - 동영상교재 희망 여부(최대 2 선택). 단어조합 희망(HOPE)+교육(EDU)지원(SPRT)+동영상(VDO)+교재(TCMTR)+여부(YN). 물리명 supp_video_txtbk_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육내용사건사고탐지여부,CONTENT_INCIDENT_YN,희망 교육내용 - 사건사고탐지 희망 여부(최대 4 선택). 단어조합 희망(HOPE)+교육(EDU)+내용(CN)+사건사고탐지(INCDET)+여부(YN). 물리명 content_incident_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육내용열람제공기준여부,CONTENT_ACCESS_STD_YN,희망 교육내용 - 열람·제공기준 희망 여부(최대 4 선택). 단어조합 희망(HOPE)+교육(EDU)+내용(CN)+열람제공기준(ACCSTD)+여부(YN). 물리명 content_access_std_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육형태집합교육과정여부,FORM_GROUP_YN,희망 교육형태 - 집합교육과정 희망 여부(최대 2 선택). 단어조합 희망(HOPE)+교육(EDU)형태(SHP)+집합(GRP)+여부(YN). 물리명 form_group_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
사용교재자체제작온라인강좌여부,TXTBK_SELF_ONLINE_YN,사용교재 - 자체제작 온라인강좌 사용 여부. 단어조합 교재(TCMTR)+자체제작(SELF)+온라인(ONLN)강좌(CORS)+여부(YN). 물리명 txtbk_self_online_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육현황 조사 양식
희망교육내용개인정보보호법여부,CONTENT_PRIVACY_LAW_YN,희망 교육내용 - 개인정보보호법 희망 여부(최대 4 선택). 단어조합 희망(HOPE)+교육(EDU)+내용(CN)+개인정보보호법(PIPA)+여부(YN). 물리명 content_privacy_law_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육내용안전성확보조치여부,CONTENT_SAFETY_YN,희망 교육내용 - 안전성확보조치 희망 여부(최대 4 선택). 단어조합 희망(HOPE)+교육(EDU)+내용(CN)+안전성확보조치(SAFEMSR)+여부(YN). 물리명 content_safety_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육형태온라인정규과정여부,FORM_ONLINE_REG_YN,희망 교육형태 - 온라인 정규과정 희망 여부(최대 2 선택). 단어조합 희망(HOPE)+교육(EDU)형태(SHP)+온라인(ONLN)+정규과정(RGCRS)+여부(YN). 물리명 form_online_reg_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육형태온라인비정규과정여부,FORM_ONLINE_IRREG_YN,희망 교육형태 - 온라인 비정규과정 희망 여부(최대 2 선택). 단어조합 희망(HOPE)+교육(EDU)형태(SHP)+온라인(ONLN)+비정규과정(IRCRS)+여부(YN). 물리명 form_online_irreg_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
희망교육형태지역거점순회교육여부,FORM_REGIONAL_TOUR_YN,희망 교육형태 - 지역거점순회교육 희망 여부(최대 2 선택). 단어조합 희망(HOPE)+교육(EDU)형태(SHP)+지역거점순회(RGTOUR)+여부(YN). 물리명 form_regional_tour_yn 유지.,,,C,1,"Y,N",,,,발주처 관제인력 교육수요 조사 양식
주감시상하향값(도),MAIN_SURV_TILT_ANG,"주 감시 방향의 수직(상하) 각도

[영문] Main Surveillance Tilt Angle",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
주감시방향값(도),MAIN_SURV_PAN_ANG,"주 감시 방향값(특히 수평 방향값, CCTV의 주시 방향 좌우 각도)

[영문] Main Surveillance Pan Angle",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-화재,INSTL_PRPS_FIR_YN,"CCTV 설치 목적이 화재인지 여부

[영문] Installation Purpose Fire Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-교통단속,INSTL_PRPS_TRF_YN,"CCTV 설치 목적이 교통단속인지 여부

[영문] Installation Purpose Traffic Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-기타목적,INSTL_PRPS_ETC_YN,"CCTV 설치 목적이 기타목적인지 여부

[영문] Installation Purpose Et cetera Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-생활방범,INSTL_PRPS_LIV_CP_YN,"CCTV 설치 목적이 생활방범인지 여부

[영문] Installation Purpose Living Crime Prevention Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-시설관리,INSTL_PRPS_FAC_YN,"CCTV 설치 목적이 시설관리인지 여부

[영문] Installation Purpose Facility Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-재난안전,INSTL_PRPS_DIS_YN,"CCTV 설치 목적이 재난안전인지 여부

[영문] Installation Purpose Disaster Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-차량방범,INSTL_PRPS_VEH_CP_YN,"CCTV 설치 목적이 차량방범인지 여부

[영문] Installation Purpose Vehicle Crime Prevention Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-쓰레기투기,INSTL_PRPS_GBG_YN,"CCTV 설치 목적이 쓰레기투기인지 여부

[영문] Installation Purpose Garbage Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-어린이보호,INSTL_PRPS_CHD_YN,"CCTV 설치 목적이 어린이보호인지 여부

[영문] Installation Purpose Child Protection Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-교통정보수집,INSTL_PRPS_TRF_INFO_YN,"CCTV 설치 목적이 교통정보수집인지 여부

[영문] Installation Purpose Traffic Information Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
설치목적여부-도시공원놀이터,INSTL_PRPS_PARK_YN,"CCTV 설치 목적이 도시공원놀이터인지 여부

[영문] Installation Purpose Urban Park Playground Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
익명여부 포함,ANONY_INCL_YN,"익명여부 포함

[영문] Including anonymity Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
영상길이(초),VDO_LEN_SEC,"영상의 전체 재생시간(초)

[영문] Video Length(Second)",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
유형분류(대),TYPE_LCLS_CD,"유형분류(대)

[영문] Type Large Classification Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
유형분류(소),TYPE_SMLS_CD,"유형분류(소)

[영문] Type Small Classification Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
유형분류(중),TYPE_MDLS_CD,"유형분류(중)

[영문] Type Middle Classification Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
차상위 기관코드,UPPR_OG_CD,"차상위에 위치한 기관코드

[영문] Upper Organization Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최상위 기관코드,TOP_OG_CD,"최상위에 위치한 기관코드

[영문] Top Organization Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이미지 사용 여부,IMG_YN,"이미지 사용 여부

[영문] image Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자 소속 시도명,USER_SIDO_NM,"사용자의 소속 시도명

[영문] User Si do Name",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자 소속 시군구명,USER_SGG_NM,"사용자의 소속 시군구명

[영문] User Si gun gu Name",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자 소속 시도코드,USER_SIDO_CD,"사용자의 소속 시도코드

[영문] User Si do Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자 소속 시군구코드,USER_SGG_CD,"사용자의 소속 시군구코드

[영문] User Si gun gu Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
배포 상태,DSTRB_STTS,"데이터 셋 배포 상태

[영문] Distribution Status",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
배포 용량,DSTRB_SZ,"데이터 셋 배포한 파일의 용량

[영문] Distribution File Size",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
버전 설명,VER_EXPLN,"해당 항목 또는 파일의 버전 정보의 설명

[영문] Version Explain",내용V4000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
영상 사용 여부,VDO_YN,"영상 사용  여부

[영문] Video Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기타장비1,ETC_EQPMNT_1,"기타장비1

[영문] Et cetera Equipment 1",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
차원1,DIM_1,,,,,,,,,,D003 ERD-008 C그룹 (resource_stats_unified.dim1)
기타장비2,ETC_EQPMNT_2,"기타장비2

[영문] Et cetera Equipment 2",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
차원2,DIM_2,,,,,,,,,,D003 ERD-008 C그룹 (resource_stats_unified.dim2)
저장방법이200만화소미만인CCTV대수,STRG_MTHD_UNDER_2MP_COM,"저장방법이 200만화소 미만인 CCTV대수

[영문] Storage Method Under 2 Megapixels Count Of Machines",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
